Make,Model,Class,EngineSize,Cylinders,Transmission,FuelType,ConsumptionCity,ConsumptionHwy,ConsumptionComb,CO2_Emissions,CO2_Rating
Mazda,CX-30 4WD,SUV: Small,2,4,AS6,X,9.4,7.7,8.6,202,5
Mazda,CX-30 4WD,SUV: Small,2.5,4,AS6,X,9,7.1,8.2,192,6
Mazda,CX-30 Turbo 4WD,SUV: Small,2.5,4,AS6,X,10.5,7.9,9.3,220,5
Mazda,CX-5 4WD,SUV: Small,2.5,4,AS6,X,9.8,7.9,9,209,5
Mazda,CX-5 Turbo 4WD,SUV: Small,2.5,4,AS6,X,10.8,8.7,9.8,230,5
Mazda,CX-50 4WD,SUV: Small,2.5,4,AS6,X,9.7,7.9,8.9,209,5
Mazda,CX-50 Turbo 4WD,SUV: Small,2.5,4,AS6,X,10.4,8.1,9.4,220,5
Mazda,CX-9 4WD,SUV: Small,2.5,4,AS6,X,11.6,9.1,10.5,245,5
Mazda,Mazda3 4-Door,Compact,2,4,AS6,X,8.4,6.6,7.6,178,6
Mazda,Mazda3 4-Door (SIL),Compact,2,4,M6,X,8.7,6.4,7.7,180,6
Mazda,Mazda3 4-Door,Compact,2.5,4,AS6,X,8.6,6.4,7.6,179,6
Mazda,Mazda3 4-Door 4WD,Compact,2.5,4,AS6,X,8.8,6.6,7.9,185,6
Mazda,Mazda3 4-Door Turbo 4WD,Compact,2.5,4,AS6,X,10.1,7.3,8.8,207,5
Mazda,Mazda3 5-Door,Mid-size,2,4,AS6,X,8.6,6.7,7.7,181,6
Mazda,Mazda3 5-Door (SIL),Mid-size,2,4,M6,X,8.7,6.6,7.8,181,6
Mazda,Mazda3 5-Door,Mid-size,2.5,4,AS6,X,8.7,6.7,7.8,183,6
Mazda,Mazda3 5-Door (SIL),Mid-size,2.5,4,M6,X,9,6.4,7.8,184,6
Mazda,Mazda3 5-Door 4WD,Mid-size,2.5,4,AS6,X,9,7,8.1,190,6
Mazda,Mazda3 5-Door Turbo 4WD,Mid-size,2.5,4,AS6,X,10.1,7.5,8.9,209,5
Mazda,MX-5,Two-seater,2,4,AS6,Z,9,6.6,7.9,186,6
Mazda,MX-5 (SIL),Two-seater,2,4,M6,Z,9,7,8.1,189,6
Mercedes-Benz,AMG C 43 4MATIC Cabriolet,Subcompact,3,6,A9,Z,13.3,9.2,11.4,268,4
Mercedes-Benz,AMG C 43 4MATIC Coupe,Subcompact,3,6,A9,Z,12.9,8.7,11,257,5
Mercedes-Benz,AMG CLA 35 4MATIC Coupe,Compact,2,4,AM7,Z,11.4,8.1,9.9,232,5
Mercedes-Benz,AMG CLA 45 4MATIC Coupe,Compact,2,4,AM8,Z,12,8.3,10.3,241,5
Mercedes-Benz,AMG CLS 53 4MATIC+ Coupe,Compact,3,6,A9,Z,11.6,8.8,10.3,241,5
Mercedes-Benz,AMG E 53 4MATIC+ Sedan,Mid-size,3,6,A9,Z,11,8.1,9.7,227,5
Mercedes-Benz,AMG E 53 4MATIC+ Cabriolet,Subcompact,3,6,A9,Z,11.6,8.7,10.3,242,5
Mercedes-Benz,AMG E 53 4MATIC+ Coupe,Subcompact,3,6,A9,Z,11.5,8.5,10.2,238,5
Mercedes-Benz,AMG GLA 35 4MATIC SUV,Station wagon: Small,2,4,AM8,Z,10.7,8,9.5,222,5
Mercedes-Benz,AMG GLA 45 4MATIC SUV,Station wagon: Small,2,4,AM8,Z,12.2,9.3,10.9,256,5
Mercedes-Benz,AMG GLB 35 4MATIC SUV,Station wagon: Mid-size,2,4,AM8,Z,11.3,8.7,10.2,238,5
Mercedes-Benz,AMG GLC 43 4MATIC Coupe,SUV: Small,3,6,A9,Z,13.5,9.7,11.8,274,4
Mercedes-Benz,AMG GLE 53 4MATIC+ SUV,SUV: Standard,3,6,A9,Z,13.4,10.7,12.2,284,4
Mercedes-Benz,AMG GLE 53 4MATIC+ Coupe,SUV: Standard,3,6,A9,Z,13.1,10.4,11.9,277,4
Mercedes-Benz,AMG GLE 63 S 4MATIC+ SUV,SUV: Standard,4,8,A9,Z,16.3,12.6,14.7,343,3
Mercedes-Benz,AMG GLE 63 S 4MATIC+ Coupe,SUV: Standard,4,8,A9,Z,16.5,12.8,14.8,347,3
